,ID,Airports,Periods,TotalFlights_3,TotalPassengers_12,EuropeTotal_22,Africa_26,America_32,Asia_36,Oceania_40,OtherUnknown_41,TotalCargo_43,TotalUnloadedCargo_46,TotalLoadedCargo_49,TotalMail_74,TotalUnloadedMail_77,TotalLoadedMail_80,Passengers_flight
706,920,Rotterdam The Hague,2005MM09,1455,78659,78659,0,0,0,0,0,6,5,1,0,0,0,"54,06116838"
707,922,Rotterdam The Hague,2005MM10,1342,74208,74193,15,0,0,0,0,5,5,0,0,0,0,"55,29657228"
708,923,Rotterdam The Hague,2005MM11,1365,68344,67888,0,456,0,0,0,0,0,0,0,0,0,"50,06886447"
709,924,Rotterdam The Hague,2005MM12,1099,58896,58896,0,0,0,0,0,2,1,0,0,0,0,"53,59053685"
710,926,Rotterdam The Hague,2005JJ00,17632,1010950,1008253,969,1434,294,0,0,17,12,4,0,0,0,"57,33609347"
711,927,Rotterdam The Hague,2006MM01,1266,59245,59245,0,0,0,0,0,0,0,0,0,0,0,"46,79699842"
712,928,Rotterdam The Hague,2006MM02,1441,65936,65803,0,0,133,0,0,6,5,1,0,0,0,"45,75711312"
713,929,Rotterdam The Hague,2006MM03,1601,77003,76990,0,0,13,0,0,2,2,0,0,0,0,"48,09681449"
714,931,Rotterdam The Hague,2006MM04,1491,81270,81270,0,0,0,0,0,1,0,1,0,0,0,"54,50704225"
715,932,Rotterdam The Hague,2006MM05,1680,109259,109259,0,0,0,0,0,2,0,2,0,0,0,"65,03511905"
716,933,Rotterdam The Hague,2006MM06,1795,104614,104614,0,0,0,0,0,2,1,1,0,0,0,"58,28077994"
717,935,Rotterdam The Hague,2006MM07,1548,108013,108013,0,0,0,0,0,1,0,1,0,0,0,"69,77583979"
718,936,Rotterdam The Hague,2006MM08,1475,101757,101757,0,0,0,0,0,0,0,0,0,0,0,"68,98779661"
719,937,Rotterdam The Hague,2006MM09,1659,107184,107184,0,0,0,0,0,1,0,1,0,0,0,"64,60759494"
720,939,Rotterdam The Hague,2006MM10,1599,99344,99344,0,0,0,0,0,0,0,0,0,0,0,"62,12883052"
721,940,Rotterdam The Hague,2006MM11,1474,65245,65245,0,0,0,0,0,0,0,0,0,0,0,"44,26390773"
722,941,Rotterdam The Hague,2006MM12,1247,59101,59101,0,0,0,0,0,0,0,0,0,0,0,"47,39454691"
723,943,Rotterdam The Hague,2006JJ00,18276,1037971,1037825,0,0,146,0,0,15,8,6,0,0,0,"56,79421099"
724,944,Rotterdam The Hague,2007MM01,1396,62559,62549,10,0,0,0,0,1,0,1,0,0,0,"44,81303725"
725,945,Rotterdam The Hague,2007MM02,1455,65654,65626,28,0,0,0,0,0,0,0,0,0,0,"45,12302405"
726,946,Rotterdam The Hague,2007MM03,1594,80082,80082,0,0,0,0,0,1,0,1,0,0,0,"50,23964868"
727,948,Rotterdam The Hague,2007MM04,1498,82050,82050,0,0,0,0,0,0,0,0,0,0,0,"54,77303071"
