ID;Airports;Periods;TotalFlights_3;TotalPassengers_12;EuropeTotal_22;Africa_26;America_32;Asia_36;Oceania_40;OtherUnknown_41;TotalCargo_43;TotalUnloadedCargo_46;TotalLoadedCargo_49;TotalMail_74;TotalUnloadedMail_77;TotalLoadedMail_80;Passengers_flight
252;A045844;2013MM10;43084;5288928;3837144;221022;711444;519316;0;0;139685;71416;68269;3209;1145;2064;123
253;A045844;2013MM11;35980;4099344;2870409;205018;562780;461137;0;0;145838;75913;69926;3371;1175;2196;114
254;A045844;2013MM12;34930;4103791;2776539;227782;612527;486943;0;0;139776;71096;68681;3821;1414;2408;117
256;A045844;2013JJ00;476792;58047513;41096590;2830699;8190573;5929640;0;0;1585170;809063;776107;34872;12224;22647;122
257;A045844;2014MM01;34913;3937135;2614350;227001;587706;508078;0;0;127785;67619;60166;2978;1031;1947;113
258;A045844;2014MM02;32831;3770429;2615846;210963;492916;450701;0;0;128099;64955;63143;2678;917;1761;115
259;A045844;2014MM03;38006;4489453;3147287;231006;602415;508745;0;0;151894;76813;75081;3011;1061;1950;118
261;A045844;2014MM04;41042;5075277;3674238;224672;662304;514063;0;0;140058;72744;67314;2934;1032;1902;124
262;A045844;2014MM05;44684;5618850;4159715;211639;749101;498395;0;0;145390;74924;70466;2943;1033;1910;126
263;A045844;2014MM06;43941;5642408;4143629;210266;787091;501422;0;0;140033;74059;65975;2847;1014;1833;128
265;A045844;2014MM07;46402;6070119;4460368;250760;807852;551138;0;0;141058;71879;69179;3090;1045;2045;131
266;A045844;2014MM08;46479;6261369;4532170;292579;844685;591932;0;0;140056;71521;68535;3147;1040;2107;135
267;A045844;2014MM09;44912;5802996;4259359;230006;795183;518448;0;0;139834;72811;67023;3073;1056;2017;129
269;A045844;2014MM10;44688;5609100;4123691;228968;739098;517343;0;0;149520;76242;73278;3382;1143;2238;126
270;A045844;2014MM11;36888;4321292;3056363;211392;585082;468455;0;0;147319;78348;68971;3432;1211;2222;117
271;A045844;2014MM12;36238;4334189;3000165;227559;624974;481491;0;0;138932;72307;66624;3964;1474;2491;120
273;A045844;2014JJ00;491024;60932617;43787181;2756811;8278407;6110211;0;0;1689976;874222;815754;37481;13058;24423;124
274;A045844;2015MM01;35424;4067159;2744657;225952;602802;493748;0;0;124315;65897;58418;3428;1136;2292;115
275;A045844;2015MM02;34013;3975652;2820468;204639;507070;443475;0;0;130082;67406;62676;2857;922;1935;117
276;A045844;2015MM03;38723;4651418;3315573;222864;622212;490769;0;0;144166;70732;73435;2899;968;1931;120
278;A045844;2015MM04;42263;5318300;3899799;223856;697454;497191;0;0;133041;68967;64074;2801;944;1857;126
279;A045844;2015MM05;46525;6064935;4553124;215966;801872;493971;0;0;142064;72729;69335;2667;973;1695;130
280;A045844;2015MM06;45459;5971077;4421466;210802;831330;507478;0;0;136586;68054;68532;2655;1005;1650;131
282;A045844;2015MM07;47783;6568499;4840842;257781;872530;597346;0;0;137417;68278;69139;2545;986;1559;137
283;A045844;2015MM08;47532;6606203;4806548;279946;893391;626315;0;0;141268;71613;69655;2456;934;1522;139
284;A045844;2015MM09;45886;6115762;4506062;228367;836067;545266;0;0;141601;71507;70095;2627;1002;1626;133
286;A045844;2015MM10;45332;5940890;4370946;229544;796260;544140;0;0;151020;76284;74736;2857;1116;1741;131
287;A045844;2015MM11;37962;4697506;3378124;214297;619611;485474;0;0;151993;79076;72916;2847;1106;1741;124
288;A045844;2015MM12;38065;4657214;3276177;222393;656486;502158;0;0;143898;74660;69238;3746;1385;2361;122
290;A045844;2015JJ00;504967;64634615;46933786;2736407;8737085;6227331;0;0;1677452;855204;822249;34385;12476;21909;128
291;A045844;2016MM01;36709;4487365;3115183;220699;634604;516877;0;0;134104;71885;62219;3145;1145;2000;122
292;A045844;2016MM02;36774;4510127;3285911;204097;550982;469137;0;0;130919;69403;61516;2558;961;1597;123
293;A045844;2016MM03;41451;5249454;3822589;221942;679550;525372;0;0;149453;78474;70979;3039;1021;2018;127
295;A045844;2016MM04;44736;5837141;4318761;206686;765596;546098;0;0;141790;74367;67423;2925;972;1953;130
296;A045844;2016MM05;48862;6408460;4860116;202043;820679;525622;0;0;138669;72439;66230;2728;869;1859;131
297;A045844;2016MM06;46549;6203153;4648888;184234;831150;538881;0;0;138570;69774;68796;2511;832;1679;133
299;A045844;2016MM07;50742;7074939;5271958;251039;903224;648708;0;0;141877;72526;69351;2435;790;1645;139
300;A045844;2016MM08;51075;7115921;5274328;268651;908028;664914;0;0;138553;70455;68098;2499;774;1725;139
301;A045844;2016MM09;48782;6572800;4913276;224948;848398;586169;0;0;142275;73298;68977;2405;767;1638;135
303;A045844;2016MM10;48802;6445707;4798974;230658;829436;586637;0;0;158146;81430;76716;2592;837;1755;132
304;A045844;2016MM11;40403;5162840;3744211;223030;657404;538195;0;0;153148;79080;74068;2619;870;1750;128
305;A045844;2016MM12;40357;5211659;3693658;238458;711129;568414;0;0;154732;79649;75083;2996;1048;1948;129
307;A045844;2016JJ00;535242;70279566;51747853;2676485;9140180;6715024;0;0;1722236;892781;829455;32453;10886;21567;131
308;A045844;2017MM01;39687;5024395;3512887;238512;684200;588788;0;0;138095;73812;64283;2450;816;1635;127
309;A045844;2017MM02;37318;4787727;3465376;215354;581488;525507;0;0;137217;69926;67291;2016;739;1277;128
310;A045844;2017MM03;44013;5717190;4168287;240020;720334;588547;0;0;160462;81852;78610;2394;822;1572;130
312;A045844;2017MM04;46977;6525509;4817217;239595;865902;602792;0;0;151822;77294;74528;2163;770;1393;139
